 "players_name" , "team_name" ,
 "Ross Barkley" , "Everton" ,
 "Rubén Alejandro Botta Montero" , "ChievoVerona" ,
 "Ruben Ewald Ligeon" , "Ajax" ,
 "Ryder Matos Santos" , "Fiorentina" ,
 "Ryo Miyaichi" , "Arsenal" ,
 "Sam Hendriks" , "Ajax" ,
 "Santiago Cazorla González" , "Arsenal" ,
 "Scott Andrew Wagstaff" , "Bristol City" ,
 "Sebastian Mladen" , "Roma" ,
 "Sergio Rochet Álvarez" , "AZ" ,
 "Seydou Alan Doumbia" , "Roma" ,
 "Seydou Keita" , "Roma" ,
 "Sheraldo Becker" , "Ajax" ,
 "Simon Busk Poulsen" , "AZ" ,
 "Simone Bentivoglio" , "ChievoVerona" ,
 "Stefan Ramone Sewell O’Connor" , "Arsenal" ,
 "Stefan Savić" , "Fiorentina" ,
 "Steve Leo Beleck A'Beka" , "Fiorentina" ,
 "Steven Roy Caulker" , "Queens Park Rangers" ,
 "Tallo Gadji-Celi Carmel Jr." , "Roma" ,
 "Terry Lartey Sanniez" , "Ajax" ,
 "Theo James Walcott" , "Arsenal" ,
 "Thom Haye" , "AZ" ,
 "Thomas Mangani" , "ChievoVerona" ,
 "Thulani Caleb Serero" , "Ajax" ,
 "Tomáš Rosický" , "Arsenal" ,
 "Tom Noordhoff" , "Ajax" ,
 "Valerio Anastasi" , "ChievoVerona" ,
 "Valerio Verre" , "Roma" ,
 "Valter Birsa" , "ChievoVerona" ,
 "Vasileios Torosidis" , "Roma" ,
 "Victor Matheus da Silva" , "ChievoVerona" ,
 "Viktor Sebastian Elm" , "AZ" ,
 "Wade Patrick Elliott" , "Bristol City" ,
 "Wesley James Burns" , "Bristol City" ,
 "Wojciech Tomasz Szczęsny" , "Arsenal" ,
 "Xavier Mous" , "Ajax" ,
 "Yaya Sanogo" , "Arsenal" ,
 "Yves De Winter" , "AZ" ,
 "Mauricio Aníbal Isla" , "Queens Park Rangers" ,
 "Aaron William Cresswell" , "West Ham United" ,
 "Adrián San Miguel del Castillo" , "West Ham United" ,
 "Alan Ernest Devonshire" , "West Ham United" ,
 "Alvin Edward Martin" , "West Ham United" ,
 "William Arthur Bonds" , "West Ham United" ,
 "Robert Frederick Chelsea Moore" , "West Ham United" ,
 "Cheikhou Kouyaté" , "West Ham United" ,
 "Daniel Potts" , "West Ham United" ,
 "Diafra Sakho" , "West Ham United" ,
 "Diego Poyet González" , "West Ham United" ,
 "Elliot Robert Lee" , "West Ham United" ,
 "Jaanai Derece Gordon" , "West Ham United" ,
 "James Michael Collins" , "West Ham United" ,
 "James Oliver Charles Tomkins" , "West Ham United" ,
 "Joseph Martin O'Brien" , "West Ham United" ,
 "Julian Andrew Dicks" , "West Ham United" ,
 "Kevin Anthony Jance Nolan" , "West Ham United" ,
 "Leo Alexander Chambers" , "West Ham United" ,
 "Mark James Noble" , "West Ham United" ,
 "Martin Stanford Peters" , "West Ham United" ,
 "Matthias Olubori A. Fanimo" , "West Ham United" ,
 "Matthias Olubori Fanimo" , "West Ham United" ,
 "Modibo Maïga" , "West Ham United" ,
 "Morgan Amalfitano" , "West Ham United" ,
 "Paul Leon Miller McCallum" , "West Ham United" ,
 "Raphael Simon Spiegel" , "West Ham United" ,
 "Ravel Ryan Morrison" , "West Ham United" ,
 "Raymond Struan McDonald Stewart" , "West Ham United" ,
 "Reece Frederick J. Burke" , "West Ham United" ,
 "Sean Patrick Maguire" , "West Ham United" ,
 "Sebastian Lletget" , "West Ham United" ,
 "Trevor David Brooking" , "West Ham United" ,
 "Winston Wiremu Reid" , "West Ham United" ,
 "Anass Achahbar" , "Feyenoord" ,
 "Bilal Başaçıkoğlu" , "Feyenoord" ,
 "Elvis Manu" , "Feyenoord" ,
 "Jean-Paul Boëtius" , "Feyenoord" ,
 "Joey Sleegers" , "Feyenoord" ,
 "Jordy Clasie" , "Feyenoord" ,
 "Karim El Ahmadi Aroussi" , "Feyenoord" ,
 "Alexander Ricard Immers" , "Feyenoord" ,
 "Lucas Woudenberg" , "Feyenoord" ,
 "Luke Wilkshire" , "Feyenoord" ,
 "Mitchell te Vrede" , "Feyenoord" ,
 "Rick Karsdorp" , "Feyenoord" ,
 "Ronald Graafland" , "Feyenoord" ,
 "Sven van Beek" , "Feyenoord" ,
 "Tonny Emilio Trindade de Vilhena" , "Feyenoord" ,
 "Warner Hahn" , "Feyenoord" ,
 "Wesley Verhoek" , "Feyenoord" ,
 "Wessel Dammers" , "Feyenoord" ,
 "Łukasz Załuska" , "Celtic" ,
 "Adam Maher" , "PSV" ,
 "Adam James Matthews" , "Celtic" ,
 "Aleksandar Boljević" , "PSV" ,
 "Anthony Stokes" , "Celtic" ,
 "Bilel Mohsni" , "Rangers" ,
 "Callum William McGregor" , "Celtic" ,
 "Calum Gallagher" , "Rangers" ,
 "Charlie Dean I'Anson" , "Real Oviedo" ,
 "Charles Patrick Mulgrew" , "Celtic" ,
 "Clint Leemans" , "PSV" ,
 "Craig Anthony Gordon" , "Celtic" ,
 "Daniel Bautista Pina" , "Real Oviedo" ,
 "Darnell Fisher" , "Celtic" ,
 "Darren McGregor" , "Rangers" ,
 "David Fernández Cortázar" , "Real Oviedo" ,
 "David Generelo Miranda" , "Real Oviedo" ,
 "Dean Andrew Shiels" , "Rangers" ,
 "Derk Boerrigter" , "Celtic" ,
 "Diego Cervero Otero" , "Real Oviedo" ,
 "Dylan McGeouch" , "Celtic" ,
 "Efetobore Ambrose Emuobo" , "Celtic" ,
 "Emilio Arturo Izaguirre Girón" , "Celtic" ,
 "Eneko Fernández Garayalde Jiménez" , "Real Oviedo" ,
 "Eoghan O'Connell" , "Celtic" ,
 "Esteban Andrés Suárez" , "Real Oviedo" ,
 "Fraser Aird" , "Rangers" ,
 "Hólmbert Aron Friðjónsson" , "Celtic" ,
 "Ian Black" , "Rangers" ,
 "Jürgen Locadia" , "PSV" ,
 "Jackson Alexander Irvine" , "Celtic" ,
 "James Forrest" , "Celtic" ,
 "Jason Grégory Marianne Denayer" , "Celtic" ,
 "Jeroen Zoet" , "PSV" ,
 "Jetro Willems" , "PSV" ,
 "John Alberto Guidetti" , "Celtic" ,
 "Jonathan Marvin Daly" , "Rangers" ,
 "Jonathan Vila Pereira" , "Real Oviedo" ,
 "Jordy de Wijs" , "PSV" ,
 "Jorrit Hendrix" , "PSV" ,
 "Joshua Brenet" , "PSV" ,
 "Karim Rekik" , "PSV" ,
 "Kyle Hutton" , "Rangers" ,
 "Lee Wallace" , "Rangers" ,
 "Liam Henderson" , "Celtic" ,
 "Luciano Narsingh" , "PSV" ,
 "Luuk de Jong" , "PSV" ,
 "Marcel Ritzmaier" , "PSV" ,
 "Marius Žaliūkas" , "Rangers" ,
 "Menno Koch" , "PSV" ,
 "Miguel Linares Cólera" , "Real Oviedo" ,
 "Carl Mikael Lustig" , "Celtic" ,
 "Néstor Susaeta Jaurrieta" , "Real Oviedo" ,
 "Nicholas Clark" , "Rangers" ,
 "Nigel Bertrams" , "PSV" ,
 "Oscar Carl Niclas Hiljemark" , "PSV" ,
 "Przemysław Tytoń" , "PSV" ,
 "Rai Vloet" , "PSV" ,
 "Remko Pasveer" , "PSV" ,
 "Richard Martyn Foster" , "Rangers" ,
 "Ryan Hardie" , "Rangers" ,
 "Santiago Arias Naranjo" , "PSV" ,
 "Scott Brown" , "Celtic" ,
 "Sergio García de la Iglesia" , "Real Oviedo" ,
 "Stefan Marius Johansen" , "Celtic" ,
 "Stefanus Johannes Schaars" , "PSV" ,
 "Tomas Petar Rogić" , "Celtic" ,
 "Virgil van Dijk" , "Celtic" ,
 "Érik Manuel Lamela" , "Tottenham Hotspur" ,
 "Alberto García Cabrera" , "Real Sporting de Gijón" ,
 "Alejandro Serrano García" , "Real Sporting de Gijón" ,
 "Alex David Pritchard" , "Tottenham Hotspur" ,
 "Andrew Williams" , "Swindon Town" ,
 "Anton Michael Rodgers" , "Swindon Town" ,
 "Armando Sosa Peña" , "Real Sporting de Gijón" ,
 "Artur Boruc" , "Southampton F.C." ,
 "Benjamin Thomas Davies" , "Tottenham Hotspur" ,
 "Benjamin Thomas C. Gladwin" , "Swindon Town" ,
 "Benjamin Stambouli" , "Tottenham Hotspur" ,
 "Carlos Castro García" , "Real Sporting de Gijón" ,
 "Christian Dannemann Eriksen" , "Tottenham Hotspur" ,
 "Claudio Andrés Bravo Muñoz" , "Barcelona" ,
 "Connor Waldon" , "Swindon Town" ,
 "Daniel Arnaud Ndi" , "Real Sporting de Gijón" ,
 "Daniel José Rodríguez Vázquez" , "Racing Ferrol" ,
 "Darren Philip Ward" , "Swindon Town" ,
 "DeAndre Roselle Yedlin" , "Tottenham Hotspur" ,
 "Dušan Tadić" , "Southampton F.C." ,
 "Emmanuel Mayuka" , "Southampton F.C." ,
 "Eric Jeremy Edgar Dier" , "Tottenham Hotspur" ,
 "Federico Julián Fazio" , "Tottenham Hotspur" ,
 "Filip Đuričić" , "Southampton F.C." ,
 "Gastón Exequiel Ramírez Pereyra" , "Southampton F.C." ,
 "Grant Terry Hall" , "Tottenham Hotspur" ,
 "Harrison James Reed" , "Southampton F.C." ,
 "Harry Edward Kane" , "Tottenham Hotspur" ,
 "Harry Stefano Toffolo" , "Swindon Town" ,
 "Harry Winks" , "Tottenham Hotspur" ,
 "Hugo Fraile Martínez" , "Real Sporting de Gijón" ,
 "Ian Mackay Abad" , "Racing Ferrol" ,
 "Ibrahim Afellay" , "Barcelona" ,
 "Ismael López Blanco" , "Real Sporting de Gijón" ,
 "Iván Forte Ortega" , "Racing Ferrol" ,
 "Jack Patrick Barthram" , "Swindon Town" ,
 "Jack Stephens" , "Southampton F.C." ,
 "Jack Stephens" , "Swindon Town" ,
 "Jake Alexander Hesketh" , "Southampton F.C." ,
 "Jake Tony Sinclair" , "Southampton F.C." ,
 "James Michael Edward Ward-Prowse" , "Southampton F.C." ,
 "Jan Bert Lieve Vertonghen" , "Tottenham Hotspur" ,
 "Jason Sean McCarthy" , "Southampton F.C." ,
 "Javier Alejandro Mascherano" , "Barcelona" ,
 "John David Swift" , "Swindon Town" ,
 "Jonathan Chiedozie Obika" , "Swindon Town" ,
 "Jonathan Rodríguez Menéndez" , "Real Sporting de Gijón" ,
 "Jordan Robert Turnbull" , "Southampton F.C." ,
 "Jordan Robert Turnbull" , "Swindon Town" ,
 "José Luis Gómez Pérez" , "Racing Ferrol" ,
 "Joshua Onomah" , "Tottenham Hotspur" ,
 "Julio César Rodríguez López" , "Real Sporting de Gijón" ,
 "Kelvin Geoffrey Davis" , "Southampton F.C." ,
 "Lee James Marshall" , "Swindon Town" ,
 "Lloyd Jeffrey Isgrove" , "Southampton F.C." ,
 "Louis Clyde William Thompson" , "Swindon Town" ,
 "Marc-André ter Stegen" , "Barcelona" ,
 "Matthew Robert Targett" , "Southampton F.C." ,
 "Matthew Ryan Jones" , "Swindon Town" ,
 "Michel Armand Vorm" , "Tottenham Hotspur" ,
 "Miguel Ángel Guerrero Martín" , "Real Sporting de Gijón" ,
 "Miles James Storey" , "Swindon Town" ,
 "Mousa Sidi Yaya Dembélé" , "Tottenham Hotspur" ,
 "Nabil Bentaleb" , "Tottenham Hotspur" ,
 "Nacer Chadli" , "Tottenham Hotspur" ,
 "Nathan William Byrne" , "Swindon Town" ,
 "Nathan Michael Thompson" , "Swindon Town" ,
 "Omar Reiss Rowe" , "Southampton F.C." ,
 "Pablo Pérez Rodríguez" , "Real Sporting de Gijón" ,
 "José Paulo Bezerra" , "Tottenham Hotspur" ,
 "Maciel Júnior" , "Tottenham Hotspur" ,
 "Paulo Dino Gazzaniga" , "Southampton F.C." ,
 "Rachid Aït-Atmane" , "Real Sporting de Gijón" ,
 "Rafael Alcântara do Nascimento" , "Barcelona" ,
 "Raphael Rossi Branco" , "Swindon Town" ,
 "Ryan Dominic Bertrand" , "Southampton F.C." ,
 "Ryan Marlowe B. Fredericks" , "Tottenham Hotspur" ,
 "Ryan Paul Seager" , "Southampton F.C." ,
 "Sadio Mané" , "Southampton F.C." ,
 "Samuel James McQueen" , "Southampton F.C." ,
 "Santiago Jara Collado" , "Real Sporting de Gijón" ,
 "Sergio Álvarez Díaz" , "Real Sporting de Gijón" ,
 "Steven Davis" , "Southampton F.C." ,
 "Thiago Benevides Gonçalves" , "Racing Ferrol" ,
 "Tobias Albertine Maurits Alderweireld" , "Southampton F.C." ,
 "Thomas James Carroll" , "Tottenham Hotspur" ,
 "Tyrell Belford" , "Swindon Town" ,
 "Víctor Vázquez Rosales" , "Racing Ferrol" ,
 "Victor Mugabe Wanyama" , "Southampton F.C." ,
 "Vlad Iulian Chiricheș" , "Tottenham Hotspur" ,
 "Wesley Andrew Foderingham" , "Swindon Town" ,
 "William George James Randall-Hurren" , "Swindon Town" ,
 "Xavier Hernández i Creus" , "Barcelona" ,
 "Yaser Safa Qasim Al-Qadefaje" , "Swindon Town" ,
 "Angel Bozhidarov Yoshev" , "Marek" ,
 "Ilan Boccara" , "Ajax" ,
 "Jack Robinson" , "Queens Park Rangers" ,
 "Muhammet Sinan Keskin" , "Ajax" ,
 "Bertrand Yves Baraye" , "ChievoVerona" ,
 "Roberto Canella Suárez" , "Real Sporting de Gijón" ,
 "Cheick Ismaël Tioté" , "Newcastle United" ,
 "Iliyan Strahilov Garov" , "Marek" ,
 "Veselin Lyubenov Tsvetkovski" , "Marek" ,
 "Salas Obasi Okechukwu" , "Oborishte" ,
 "Diego Farias da Silva" , "ChievoVerona" ,
 "Dominic Edward Gape" , "Southampton F.C." ,
 "Steven Jerome Pienaar" , "Everton" ,
 "Fabian Mitchel Sporkslede" , "Ajax" ,
 "Serge David Gnabry" , "Arsenal" ,
 "Sergi Roberto Carnicer" , "Barcelona" ,
 "Shane Patrick Long" , "Southampton F.C." ,
 "Luis Hernández Rodríguez" , "Real Sporting de Gijón" ,
 "Daniel Alves da Silva" , "Barcelona" ,
 "Ion Erice Domínguez" , "Real Oviedo" ,
 "Emmanuel Rivière" , "Newcastle United" ,
 "Maya Yoshida" , "Southampton F.C." ,
 "Georgi Vasilev Kakalov" , "Oborishte" ,
 "Luis Alberto Suárez Díaz" , "Barcelona" ,
 "Michael John Smith" , "Swindon Town" ,
 "Nicholas Law" , "Rangers" ,
 "Sébastien Faure" , "Rangers" ,
 "Bjørn Helge Semundseth Riise" , "Lillestrøm" ,
 "Michael James Williamson" , "Newcastle United" ,
 "Sergio Busquets Burgos" , "Barcelona" ,
 "Jarkko Erkki Hurme" , "Odd" ,
 "Lewis Harry Holtby" , "Tottenham Hotspur" ,
 "Steven Preben Arthur Simonsen" , "Rangers" ,
 "Terence Kongolo" , "Feyenoord" ,
 "Borislav Rumenov Nikolov" , "Marek" ,
 "Emil Rumenov Viyachki" , "Marek" ,
 "Svetoslav Dimitrov Dikov" , "Marek" ,
 "Zlatko Ivaylov Bonev" , "Marek" ,
 "Adrian Marius Stoian" , "ChievoVerona" ,
 "Adrian Marius Stoian" , "Roma" ,
 "Brian Murphy" , "Queens Park Rangers" ,
 "Daniele De Rossi" , "Roma" ,
 "Héctor Font Romero" , "Real Oviedo" ,
 "Joel Robles Blázquez" , "Everton" ,
 "Micah Lincoln Richards" , "Fiorentina" ,
 "Kenneth Miller" , "Rangers" ,
 "Enner Remberto Valencia Lastra" , "West Ham United" ,
 "George John Barker" , "Swindon Town" ,
 "David Cooper Templeton" , "Rangers" ,
 "Adriano Correia Claro" , "Barcelona" ,
 "Jordi Alba Ramos" , "Barcelona" ,
 "Jordi Masip López" , "Barcelona" ,
 "Pedro Eliezer Rodríguez Ledesma" , "Barcelona" ,
 "Sam John Byrne" , "Everton" ,
 "Hugo Lloris" , "Tottenham Hotspur" ,
 "Jeffrey Kevin van Homoet Bruma" , "PSV" ,
 "Lee Henry McCulloch" , "Rangers" ,
 "Dimitar Ivanov Petkov" , "Marek" ,
 "Gerard Piqué i Bernabeu" , "Barcelona" ,
 "Lionel Andrés Messi Cuccittini" , "Barcelona" ,
 "Niko Kranjčar" , "Queens Park Rangers" ,
 "Paolo Di Canio" , "West Ham United" ,
 "Steven Vincent Taylor" , "Newcastle United" ,
 "Iván Cuéllar Sacristán" , "Real Sporting de Gijón" ,
 "Ivan Rakitić" , "Barcelona" ,
 "Joris Mathijsen" , "Feyenoord" ,
 "José Miguel da Rocha Fonte" , "Southampton F.C." ,
 "Kenneth Harold Vermeer" , "Feyenoord" ,
 "Kristian Arran Commons" , "Celtic" ,
 "Matthew Thomas Jarvis" , "West Ham United" ,
 "Thomas Vermaelen" , "Barcelona" ,
 "Ľubomír Šatka" , "Newcastle United" ,
 "Adam James Armstrong" , "Newcastle United" ,
 "Adam Campbell" , "Newcastle United" ,
 "Ayoze Pérez Gutiérrez" , "Newcastle United" ,
 "Callum Roberts" , "Newcastle United" ,
 "Curtis Edward Good" , "Newcastle United" ,
 "Daryl Janmaat" , "Newcastle United" ,
 "Fabricio Coloccini" , "Newcastle United" ,
 "Facundo Ferreyra" , "Newcastle United" ,
 "Gaël Bigirimana" , "Newcastle United" ,
 "Gaël Bigirimana" , "Rangers" ,
 "Gabriel Antoine Obertan" , "Newcastle United" ,
 "Jak Alnwick" , "Newcastle United" ,
 "Karl Darlow" , "Newcastle United" ,
 "Melingo Kevin Mbabu" , "Newcastle United" ,
 "Melingo Kevin Mbabu" , "Rangers" ,
 "Massadio Haïdara" , "Newcastle United" ,
 "Mehdi Abeid" , "Newcastle United" ,
 "Moussa Sissoko" , "Newcastle United" ,
 "Papiss Demba Cissé" , "Newcastle United" ,
 "Paul Dummett" , "Newcastle United" ,
 "Rémy Cabella" , "Newcastle United" ,
 "Remie Streete" , "Newcastle United" ,
 "Remie Streete" , "Rangers" ,
 "Robert Elliot" , "Newcastle United" ,
 "Rolando Aarons" , "Newcastle United" ,
 "Ryan Anthony Taylor" , "Newcastle United" ,
 "Samuel Oluwaseyi J. Ameobi" , "Newcastle United" ,
 "Shane Kevin Ferguson" , "Newcastle United" ,
 "Shane Kevin Ferguson" , "Rangers" ,
 "Siem de Jong" , "Newcastle United" ,
 "Sylvain Marveaux" , "Newcastle United" ,
 "Timothy Michael Krul" , "Newcastle United" ,
 "Vurnon San Benito Anita" , "Newcastle United" ,
 "Yoan Gouffran" , "Newcastle United" ,
 "Romelu Menama Lukaku" , "Everton" ,
 "Ryan Glen Mason" , "Tottenham Hotspur" ,
 "Alejandro Menéndez Díez" , "Real Sporting de Gijón" ,
 "Bernardo José Espinosa Zúñiga" , "Real Sporting de Gijón" ,
 "Denis Suárez Fernández" , "Barcelona" ,
 "Martin Borislavov Dechev" , "Oborishte" ,
 "Martin Nikolaev Kavdanski" , "Marek" ,
 "José Andrés Guardado Hernández" , "PSV" ,
 "Leighton John Baines" , "Everton" ,
 "Stewart Downing" , "West Ham United" ,
 "Younès Kaboul" , "Tottenham Hotspur" ,
 "Alexandre Dimitri Song Billong" , "Barcelona" ,
 "Alexandre Dimitri Song Billong" , "West Ham United" ,
 "Colin Kazim-Richards" , "Feyenoord" ,
 "Roberto Soldado Rillo" , "Tottenham Hotspur" ,
 "Andrés Iniesta Luján" , "Barcelona" ,
 "Arouna Koné" , "Everton" ,
 "Sheyi Emmanuel Adebayor" , "Tottenham Hotspur" ,
 "Khalid Boulahrouz" , "Feyenoord" ,
 "Carlton Michael George Cole Okorie" , "West Ham United" ,
 "Florin Gardoș" , "Southampton F.C." ,
 "Alberto Lora Ramos" , "Real Sporting de Gijón" ,
 "Antolín Alcaraz Viveros" , "Everton" ,
 "Carlos Carmona Bonet" , "Real Sporting de Gijón" ,
 "Georginio Gregion Emile Wijnaldum" , "PSV" ,
 "Maksim Tsochev Stoykov" , "Oborishte" ,
 "Elidiano Marques Lima" , "Oborishte" ,
 "Krum Georgiev Bibishkov" , "Marek" ,
 "Martin Borisov Dimitrov" , "Marek" ,
 "Francesco Totti" , "Roma" ,
 "Rio Gavin Ferdinand" , "Queens Park Rangers" ,
 "Daniel Ventsislavov Mladenov" , "Oborishte" ,
 "Milen Veselinov Lahchev" , "Marek" ,
 "Jens Toornstra" , "Feyenoord" ,
 "Jordan Gideon Archer" , "Tottenham Hotspur" ,
 "Jussi Albert Jääskeläinen" , "West Ham United" ,
 "Miguel Ángel Tena García" , "Racing Ferrol" ,
 "Borja Valle Balonga" , "Real Oviedo" ,
 "Dionisio Emanuel Villalba Rojano" , "Real Oviedo" ,
 "John David Lundstram" , "Everton" ,
 "Nikola Vasilev Ivanov" , "Oborishte" ,
 "Kostas Lamprou" , "Feyenoord" ,
 "Séamus Coleman" , "Everton" ,
 "Yancho Ivanov Andreev" , "Oborishte" ,
 "Tomislav Slavchev Pavlov" , "Marek" ,
 "Paschalis Draganidis" , "AS Anagennisi Epanomi F.C." ,
 "Dean Maimoni" , "Ironi Kiryat Shmona" ,
 "Robert Sierant" , "ŁKS Łódź" ,
 "Ahmed Abed" , "Ironi Kiryat Shmona" ,
 "Javier Pedro Saviola Fernández" , "Hellas Verona" ,
 "Kévin Vandendriessche" , "Royal Mouscron-Péruwelz" ,
 "Dia Saba" , "Maccabi Netanya" ,
 "Szymon Gąsiński" , "ŁKS Łódź" ,
 "Bruno Malias Mendes" , "Santos FC" ,
 "Walid Derrardja" , "MC El-Eulma" ,
 "Mokhtar Belkhiter" , "MC El-Eulma" ,
 "Noor Bisan" , "Maccabi Netanya" ,
 "Koriak Upaiga" , "Hekari United FC" ,
 "Yoel Chehanovich" , "Ironi Kiryat Shmona" ,
 "Tamir Kahlon" , "Ironi Kiryat Shmona" ,
 "Tristan Dingomé" , "Royal Mouscron-Péruwelz" ,
 "Amir Khodamoradi" , "Shahrdari Bandar Abbas" ,
 "Amir Khodamoradi" , شهرداری بندر عباس ,
 "Eric Komeng" , "Hekari United FC" ,
 "David Manga Lembe" , "Ironi Kiryat Shmona" ,
 "Snir Dori" , "Maccabi Netanya" ,
 "Randolph Burton" , "All Saints United F.C." ,
 "Nir Abergel" , "Maccabi Netanya" ,
 "Ryan Paul Kendall" , "Harrogate Town" ,
 "Kliment Nastoski" , "AS Anagennisi Epanomi F.C." ,
 "Ange-Freddy Plumain" , "Fulham Football Club" ,
 "Ido Levy" , "Maccabi Netanya" ,
 "Ismael D'Angelo Herrera" , "PanSa East FC" ,
 "Juan Pablo Carrizo" , "Internazionale" ,
 "Nikolay Georgiev Bodurov" , "Fulham Football Club" ,
 "Samson Mbingui" , "MC El-Eulma" ,
 "Gabriel Nicu Giurgiu" , "Maccabi Netanya" ,
 "Mindaugas Panka" , "Ironi Kiryat Shmona" ,
 "Adrian Kasztelan" , "ŁKS Łódź" ,
 "Kamil Cupriak" , "ŁKS Łódź" ,
 "Raul Gorshumov" , "Maccabi Netanya" ,
 "Omer Tchalisher" , "Maccabi Netanya" ,
 "Alexander Victor" , "PanSa East FC" ,
 "Philip Kenneth Barnes" , "Harrogate Town" ,
 "Alex Phillip" , "All Saints United F.C." ,
 "Matthew Brian Bloomer" , "Harrogate Town" ,
 "Christian Dlopst" , "SAK Celovec/Klagenfurt" ,
 "Hen Dilmoni" , "Ironi Kiryat Shmona" ,
 "Álvaro Daniel Pereira Barragán" , "Internazionale" ,
 "Ânderson Miguel da Silva" , "Hellas Verona" ,
 "Anthony J. Soares" , "Hellas Verona" ,
 "Adam Jake Taggart" , "Fulham Football Club" ,
 "Adama Fofana" , "Internazionale" ,
 "Alejandro Damián González Hernández" , "Hellas Verona" ,
 "Alexander Kačaniklić" , "Fulham Football Club" ,
 "Joseph Alfred Duncan" , "Internazionale" ,
 "Andrea Palazzi" , "Internazionale" ,
 "Andreas Bodtker Christensen" , "Chelsea" ,
 "Anthonius Petrus Lurling" , "FC Den Bosch" ,
 "Artur Ioniță" , "Hellas Verona" ,
 "Branislav Ivanović" , "Chelsea" ,
 "Bruno Appels" , "FC Den Bosch" ,
 "Bryan Jafet Ruiz González" , "Fulham Football Club" ,
 "César Azpilicueta Tanco" , "Chelsea" ,
 "Cameron Burgess" , "Fulham Football Club" ,
 "Cauley Woodrow" , "Fulham Football Club" ,
 "Christofer David" , "Fulham Football Club" ,
 "Twasam Christian Atsu" , "Chelsea" ,
 "Daniel Johnson Burn" , "Fulham Football Club" ,
 "Pablo Daniel Osvaldo" , "Internazionale" ,
 "Daniel Sartori Bessa" , "Internazionale" ,
 "Danilo D'Ambrosio" , "Internazionale" ,
 "Darren Maatsen" , "FC Den Bosch" ,
 "Diego da Silva Costa" , "Chelsea" ,
 "Diego Sebastián Laxalt Suárez" , "Internazionale" ,
 "José Rodolfo Pires Ribeiro" , "Internazionale" ,
 "Dominic Ayodele Solanke-Mitchell" , "Chelsea" ,
 "Eden Michael Hazard" , "Chelsea" ,
 "Elsad Zverotić" , "Fulham Football Club" ,
 "Elvis Kabashi" , "FC Den Bosch" ,
 "Emerson Hyndman" , "Fulham Football Club" ,
 "Emil Hallfreðsson" , "Hellas Verona" ,
 "Erik Quekel" , "FC Den Bosch" ,
 "Ezequiel Matías Schelotto" , "Internazionale" ,
 "Federico Bonazzoli" , "Internazionale" ,
 "Luiz Fernando Pereira da Silva" , "Hellas Verona" ,
 "Fernando Gabriel Amorebieta Mardaras" , "Fulham Football Club" ,
 "Filipe Luís Kasmirski" , "Chelsea" ,
 "Frederik Hillesborg Sørensen" , "Hellas Verona" ,
 "Fredy Alejandro Guarín Vásquez" , "Internazionale" ,
 "Gábor Ferenc Király" , "Fulham Football Club" ,
 "Gaël Kakuta" , "Chelsea" ,
 "Gary James Cahill" , "Chelsea" ,
 "Gary Alexis Medel Soto" , "Internazionale" ,
 "Marius George Țucudean" , "Charlton Athletic FC" ,
 "George Christopher Williams" , "Fulham Football Club" ,
 "Guillermo Daniel Rodríguez Pérez" , "Hellas Verona" ,
 "Gustavo Campanharo" , "Hellas Verona" ,
 "Harry George Lennon" , "Charlton Athletic FC" ,
 "Anderson Hernanes de" , "Internazionale" ,
 "Carvalho Viana Lima" , "Internazionale" ,
 "Hugo Armando Campagnaro" , "Internazionale" ,
 "Hugo Rodallega Martínez" , "Fulham Football Club" ,
 "Isaac Donkor" , "Internazionale" ,
 "Isaiah Jay Brown" , "Chelsea" ,
 "Ivan Martić" , "Hellas Verona" ,
 "Ivica Ivušić" , "Internazionale" ,
 "Jack Grimmer" , "Fulham Football Club" ,
 "Jamal Clint-Ross Blackman" , "Chelsea" ,
 "Ashley Darel Jazz Richards" , "Fulham Football Club" ,
 "Jesse Pekka Joronen" , "Fulham Football Club" ,
 "Joseph Dave Gomez" , "Charlton Athletic FC" ,
 "Joseph David Wozencroft Pigott" , "Charlton Athletic FC" ,
 "Joel Chukwuma Obi" , "Internazionale" ,
 "Joey Belterman" , "FC Den Bosch" ,
 "John Michael Nchekwube Obinna" , "Chelsea" ,
 "John Alec Jackson" , "Charlton Athletic FC" ,
 "Jonathan Cícero Moreira" , "Internazionale" ,
 "Jordan Paul Cousins" , "Charlton Athletic FC" ,
 "Joshua Mark McEachran" , "Chelsea" ,
 "Joshua Passley" , "Fulham Football Club" ,
 "Juan Guillermo Cuadrado Bello" , "Chelsea" ,
 "Juan Guilherme Nunes Jesus" , "Internazionale" ,
 "Juan Ignacio Gomez Taleb" , "Hellas Verona" ,
 "Justin Tahapary" , "FC Den Bosch" ,
 "Karlan Laughton Ahearne-Grant" , "Charlton Athletic FC" ,
 "Kay Voser" , "Fulham Football Club" ,
 "Konstantinos Mitroglou" , "Fulham Football Club" ,
 "Konstantinos Stafylidis" , "Fulham Football Club" ,
 "Kurt Happy Zouma" , "Chelsea" ,
 "Larnell James Cole" , "Fulham Football Club" ,
 "Lawrie Robert Wilson" , "Charlton Athletic FC" ,
 "Lazaros Christodoulopoulos" , "Hellas Verona" ,
 "Lewis Renard Baker" , "Chelsea" ,
 "Liam Francis Peadar Donnelly" , "Fulham Football Club" ,
