 "players_name" , "team_name" ,
 "Juma Darwish Al-Mashari" , "Al-Nasr S.C.S.C." ,
 "Juma Darwish Al-Mashari" , نادي النصر الرياضي الثفافي الإجتماعي ,
 "Akeem Latifu" , "Akwa United" ,
 "Anselmo Gonçalves Cardoso" , "Al-Mesaimeer S.C." ,
 "Mehmet Batdal" , "İstanbul Başakşehir" ,
 "Ziri Hammar" , "Arles-Avignon" ,
 "Khaled Baleid" , "Al-Tilal SC" ,
 "Pascal Chimbonda" , "Arles-Avignon" ,
 "Michael Craig Thomas Potts" , "A.F.C. Fylde" ,
 "Ahmed Mana Jamaan Al-Noobi" , "Al-Nasr S.C.S.C." ,
 "Ahmed Mana Jamaan Al-Noobi" , نادي النصر الرياضي الثفافي الإجتماعي ,
 "Christian Demirtaş" , "Würzburger Kickers" ,
 "Jérôme Phojo" , "Arles-Avignon" ,
 "Ismaël Gace" , "EFC Fréjus Saint-Raphaël" ,
 "Ufuk Ceylan" , "İstanbul Başakşehir" ,
 "Kódjo Alphonse" , "Académico de Viseu" ,
 "Craig Dootson" , "A.F.C. Fylde" ,
 "Mahmut Tekdemir" , "İstanbul Başakşehir" ,
 "Abdulla Adnan Al-Dakeel" , "Al-Markhiya S.C." ,
 "Mehrdad Pooladi" , "Al-Shahania SC" ,
 "Gustavo Pinedo Zabala" , "Xerez B" ,
 "Francisco Lima da Silva" , "İstanbul Başakşehir" ,
 "Pierre Laigle" , "Saint-Priest" ,
 "Hassan Yebda" , "Fujairah SC" ,
 "Mohammad Omar Shishani" , "Al-Ramtha SC" ,
 "Déogracias Kanda A Mukok" , "AS Vita Club" ,
 "Qasim Said Sanjoor Hardan" , "Al-Nasr S.C.S.C." ,
 "Qasim Said Sanjoor Hardan" , نادي النصر الرياضي الثفافي الإجتماعي ,
 "João Ricardo Pinto da Silva" , "Académico de Viseu" ,
 "Mohammad Ali Mustafa" , "Al-Khor SC" ,
 "Saeed Hassan Murjan" , "Al-Ramtha SC" ,
 "Mishel Al-Agmi" , "Al-Shoulla" ,
 "Mishel Al-Agmi" , نادي الشعلة السعودي ,
 "Claudio Luciano Vázquez" , "Al-Shahania SC" ,
 "Luis Miguel Pinheiro Andrade" , "Académico de Viseu" ,
 "Mustafa Jalal Jaafari" , "Al-Khor SC" ,
 "Firmin Ndombe Mubele" , "AS Vita Club" ,
 "Lema Chikito Mabidi" , "AS Vita Club" ,
 "Jackson Mendes da Silva" , "Arles-Avignon" ,
 "Ritchie Kitoko" , "Asteras Tripolis" ,
 "Ronald Alejandro" , "Balıkesirspor Kulübü" ,
 "Vargas Aranguren" , "Balıkesirspor Kulübü" ,
 "Sercan Yıldırım" , "Balıkesirspor Kulübü" ,
 "Samuel Sáiz Alonso" , "Atlético Madrid B" ,
